outcome,trial_family,partition,strategy,stop_multiple,rr,delay_ms,spread_multiplier
,RR_GRID,DISCOVERY,post_burst_continuation,12.0,0.8,0.0,1.0
,RR_GRID,DISCOVERY,post_burst_continuation,12.0,0.8,0.0,1.25
,RR_GRID,DISCOVERY,post_burst_continuation,12.0,0.8,100.0,1.0
,RR_GRID,DISCOVERY,post_burst_continuation,12.0,0.8,100.0,1.25
,RR_GRID,DISCOVERY,post_burst_continuation,12.0,0.8,250.0,1.0
,RR_GRID,DISCOVERY,post_burst_continuation,12.0,0.8,250.0,1.25
,RR_GRID,DISCOVERY,post_burst_continuation,12.0,1.0,0.0,1.0
,RR_GRID,DISCOVERY,post_burst_continuation,12.0,1.0,0.0,1.25
,RR_GRID,DISCOVERY,post_burst_continuation,12.0,1.0,100.0,1.0
,RR_GRID,DISCOVERY,post_burst_continuation,12.0,1.0,100.0,1.25
,RR_GRID,DISCOVERY,post_burst_continuation,12.0,1.0,250.0,1.0
,RR_GRID,DISCOVERY,post_burst_continuation,12.0,1.0,250.0,1.25
,RR_GRID,DISCOVERY,post_burst_continuation,12.0,1.2,0.0,1.0
,RR_GRID,DISCOVERY,post_burst_continuation,12.0,1.2,0.0,1.25
,RR_GRID,DISCOVERY,post_burst_continuation,12.0,1.2,100.0,1.0
,RR_GRID,DISCOVERY,post_burst_continuation,12.0,1.2,100.0,1.25
,RR_GRID,DISCOVERY,post_burst_continuation,12.0,1.2,250.0,1.0
,RR_GRID,DISCOVERY,post_burst_continuation,12.0,1.2,250.0,1.25
,RR_GRID,DISCOVERY,post_burst_continuation,12.0,1.5,0.0,1.0
,RR_GRID,DISCOVERY,post_burst_continuation,12.0,1.5,0.0,1.25
,RR_GRID,DISCOVERY,post_burst_continuation,12.0,1.5,100.0,1.0
,RR_GRID,DISCOVERY,post_burst_continuation,12.0,1.5,100.0,1.25
,RR_GRID,DISCOVERY,post_burst_continuation,12.0,1.5,250.0,1.0
,RR_GRID,DISCOVERY,post_burst_continuation,12.0,1.5,250.0,1.25
,RR_GRID,DISCOVERY,post_burst_continuation,12.0,2.0,0.0,1.0
,RR_GRID,DISCOVERY,post_burst_continuation,12.0,2.0,0.0,1.25
,RR_GRID,DISCOVERY,post_burst_continuation,12.0,2.0,100.0,1.0
,RR_GRID,DISCOVERY,post_burst_continuation,12.0,2.0,100.0,1.25
,RR_GRID,DISCOVERY,post_burst_continuation,12.0,2.0,250.0,1.0
,RR_GRID,DISCOVERY,post_burst_continuation,12.0,2.0,250.0,1.25
,RR_GRID,DISCOVERY,pullback_continuation,1.0,0.8,0.0,1.0
,RR_GRID,DISCOVERY,pullback_continuation,1.0,0.8,0.0,1.25
,RR_GRID,DISCOVERY,pullback_continuation,1.0,0.8,100.0,1.0
,RR_GRID,DISCOVERY,pullback_continuation,1.0,0.8,100.0,1.25
,RR_GRID,DISCOVERY,pullback_continuation,1.0,0.8,250.0,1.0
,RR_GRID,DISCOVERY,pullback_continuation,1.0,0.8,250.0,1.25
,RR_GRID,DISCOVERY,pullback_continuation,1.0,1.0,0.0,1.0
,RR_GRID,DISCOVERY,pullback_continuation,1.0,1.0,0.0,1.25
,RR_GRID,DISCOVERY,pullback_continuation,1.0,1.0,100.0,1.0
,RR_GRID,DISCOVERY,pullback_continuation,1.0,1.0,100.0,1.25
,RR_GRID,DISCOVERY,pullback_continuation,1.0,1.0,250.0,1.0
,RR_GRID,DISCOVERY,pullback_continuation,1.0,1.0,250.0,1.25
,RR_GRID,DISCOVERY,pullback_continuation,1.0,1.2,0.0,1.0
,RR_GRID,DISCOVERY,pullback_continuation,1.0,1.2,0.0,1.25
,RR_GRID,DISCOVERY,pullback_continuation,1.0,1.2,100.0,1.0
,RR_GRID,DISCOVERY,pullback_continuation,1.0,1.2,100.0,1.25
,RR_GRID,DISCOVERY,pullback_continuation,1.0,1.2,250.0,1.0
,RR_GRID,DISCOVERY,pullback_continuation,1.0,1.2,250.0,1.25
,RR_GRID,DISCOVERY,pullback_continuation,1.0,1.5,0.0,1.0
,RR_GRID,DISCOVERY,pullback_continuation,1.0,1.5,0.0,1.25
,RR_GRID,DISCOVERY,pullback_continuation,1.0,1.5,100.0,1.0
,RR_GRID,DISCOVERY,pullback_continuation,1.0,1.5,100.0,1.25
,RR_GRID,DISCOVERY,pullback_continuation,1.0,1.5,250.0,1.0
,RR_GRID,DISCOVERY,pullback_continuation,1.0,1.5,250.0,1.25
,RR_GRID,DISCOVERY,pullback_continuation,1.0,2.0,0.0,1.0
,RR_GRID,DISCOVERY,pullback_continuation,1.0,2.0,0.0,1.25
,RR_GRID,DISCOVERY,pullback_continuation,1.0,2.0,100.0,1.0
,RR_GRID,DISCOVERY,pullback_continuation,1.0,2.0,100.0,1.25
,RR_GRID,DISCOVERY,pullback_continuation,1.0,2.0,250.0,1.0
,RR_GRID,DISCOVERY,pullback_continuation,1.0,2.0,250.0,1.25
,RR_GRID,DISCOVERY,pullback_continuation,1.5,0.8,0.0,1.0
,RR_GRID,DISCOVERY,pullback_continuation,1.5,0.8,0.0,1.25
,RR_GRID,DISCOVERY,pullback_continuation,1.5,0.8,100.0,1.0
,RR_GRID,DISCOVERY,pullback_continuation,1.5,0.8,100.0,1.25
,RR_GRID,DISCOVERY,pullback_continuation,1.5,0.8,250.0,1.0
,RR_GRID,DISCOVERY,pullback_continuation,1.5,0.8,250.0,1.25
,RR_GRID,DISCOVERY,pullback_continuation,1.5,1.0,0.0,1.0
,RR_GRID,DISCOVERY,pullback_continuation,1.5,1.0,0.0,1.25
,RR_GRID,DISCOVERY,pullback_continuation,1.5,1.0,100.0,1.0
,RR_GRID,DISCOVERY,pullback_continuation,1.5,1.0,100.0,1.25
,RR_GRID,DISCOVERY,pullback_continuation,1.5,1.0,250.0,1.0
,RR_GRID,DISCOVERY,pullback_continuation,1.5,1.0,250.0,1.25
,RR_GRID,DISCOVERY,pullback_continuation,1.5,1.2,0.0,1.0
,RR_GRID,DISCOVERY,pullback_continuation,1.5,1.2,0.0,1.25
,RR_GRID,DISCOVERY,pullback_continuation,1.5,1.2,100.0,1.0
,RR_GRID,DISCOVERY,pullback_continuation,1.5,1.2,100.0,1.25
,RR_GRID,DISCOVERY,pullback_continuation,1.5,1.2,250.0,1.0
,RR_GRID,DISCOVERY,pullback_continuation,1.5,1.2,250.0,1.25
,RR_GRID,DISCOVERY,pullback_continuation,1.5,1.5,0.0,1.0
,RR_GRID,DISCOVERY,pullback_continuation,1.5,1.5,0.0,1.25
,RR_GRID,DISCOVERY,pullback_continuation,1.5,1.5,100.0,1.0
,RR_GRID,DISCOVERY,pullback_continuation,1.5,1.5,100.0,1.25
,RR_GRID,DISCOVERY,pullback_continuation,1.5,1.5,250.0,1.0
,RR_GRID,DISCOVERY,pullback_continuation,1.5,1.5,250.0,1.25
,RR_GRID,DISCOVERY,pullback_continuation,1.5,2.0,0.0,1.0
,RR_GRID,DISCOVERY,pullback_continuation,1.5,2.0,0.0,1.25
,RR_GRID,DISCOVERY,pullback_continuation,1.5,2.0,100.0,1.0
,RR_GRID,DISCOVERY,pullback_continuation,1.5,2.0,100.0,1.25
,RR_GRID,DISCOVERY,pullback_continuation,1.5,2.0,250.0,1.0
,RR_GRID,DISCOVERY,pullback_continuation,1.5,2.0,250.0,1.25
,RR_GRID,DISCOVERY,pullback_continuation,2.0,0.8,0.0,1.0
,RR_GRID,DISCOVERY,pullback_continuation,2.0,0.8,0.0,1.25
,RR_GRID,DISCOVERY,pullback_continuation,2.0,0.8,100.0,1.0
,RR_GRID,DISCOVERY,pullback_continuation,2.0,0.8,100.0,1.25
,RR_GRID,DISCOVERY,pullback_continuation,2.0,0.8,250.0,1.0
,RR_GRID,DISCOVERY,pullback_continuation,2.0,0.8,250.0,1.25
,RR_GRID,DISCOVERY,pullback_continuation,2.0,1.0,0.0,1.0
,RR_GRID,DISCOVERY,pullback_continuation,2.0,1.0,0.0,1.25
,RR_GRID,DISCOVERY,pullback_continuation,2.0,1.0,100.0,1.0
,RR_GRID,DISCOVERY,pullback_continuation,2.0,1.0,100.0,1.25
,RR_GRID,DISCOVERY,pullback_continuation,2.0,1.0,250.0,1.0
,RR_GRID,DISCOVERY,pullback_continuation,2.0,1.0,250.0,1.25
,RR_GRID,DISCOVERY,pullback_continuation,2.0,1.2,0.0,1.0
,RR_GRID,DISCOVERY,pullback_continuation,2.0,1.2,0.0,1.25
,RR_GRID,DISCOVERY,pullback_continuation,2.0,1.2,100.0,1.0
,RR_GRID,DISCOVERY,pullback_continuation,2.0,1.2,100.0,1.25
,RR_GRID,DISCOVERY,pullback_continuation,2.0,1.2,250.0,1.0
,RR_GRID,DISCOVERY,pullback_continuation,2.0,1.2,250.0,1.25
,RR_GRID,DISCOVERY,pullback_continuation,2.0,1.5,0.0,1.0
,RR_GRID,DISCOVERY,pullback_continuation,2.0,1.5,0.0,1.25
,RR_GRID,DISCOVERY,pullback_continuation,2.0,1.5,100.0,1.0
,RR_GRID,DISCOVERY,pullback_continuation,2.0,1.5,100.0,1.25
,RR_GRID,DISCOVERY,pullback_continuation,2.0,1.5,250.0,1.0
,RR_GRID,DISCOVERY,pullback_continuation,2.0,1.5,250.0,1.25
,RR_GRID,DISCOVERY,pullback_continuation,2.0,2.0,0.0,1.0
,RR_GRID,DISCOVERY,pullback_continuation,2.0,2.0,0.0,1.25
,RR_GRID,DISCOVERY,pullback_continuation,2.0,2.0,100.0,1.0
,RR_GRID,DISCOVERY,pullback_continuation,2.0,2.0,100.0,1.25
,RR_GRID,DISCOVERY,pullback_continuation,2.0,2.0,250.0,1.0
,RR_GRID,DISCOVERY,pullback_continuation,2.0,2.0,250.0,1.25
,RR_GRID,DISCOVERY,pullback_continuation,2.5,0.8,0.0,1.0
,RR_GRID,DISCOVERY,pullback_continuation,2.5,0.8,0.0,1.25
,RR_GRID,DISCOVERY,pullback_continuation,2.5,0.8,100.0,1.0
,RR_GRID,DISCOVERY,pullback_continuation,2.5,0.8,100.0,1.25
,RR_GRID,DISCOVERY,pullback_continuation,2.5,0.8,250.0,1.0
,RR_GRID,DISCOVERY,pullback_continuation,2.5,0.8,250.0,1.25
,RR_GRID,DISCOVERY,pullback_continuation,2.5,1.0,0.0,1.0
,RR_GRID,DISCOVERY,pullback_continuation,2.5,1.0,0.0,1.25
,RR_GRID,DISCOVERY,pullback_continuation,2.5,1.0,100.0,1.0
,RR_GRID,DISCOVERY,pullback_continuation,2.5,1.0,100.0,1.25
,RR_GRID,DISCOVERY,pullback_continuation,2.5,1.0,250.0,1.0
,RR_GRID,DISCOVERY,pullback_continuation,2.5,1.0,250.0,1.25
,RR_GRID,DISCOVERY,pullback_continuation,2.5,1.2,0.0,1.0
,RR_GRID,DISCOVERY,pullback_continuation,2.5,1.2,0.0,1.25
,RR_GRID,DISCOVERY,pullback_continuation,2.5,1.2,100.0,1.0
,RR_GRID,DISCOVERY,pullback_continuation,2.5,1.2,100.0,1.25
,RR_GRID,DISCOVERY,pullback_continuation,2.5,1.2,250.0,1.0
,RR_GRID,DISCOVERY,pullback_continuation,2.5,1.2,250.0,1.25
,RR_GRID,DISCOVERY,pullback_continuation,2.5,1.5,0.0,1.0
,RR_GRID,DISCOVERY,pullback_continuation,2.5,1.5,0.0,1.25
,RR_GRID,DISCOVERY,pullback_continuation,2.5,1.5,100.0,1.0
,RR_GRID,DISCOVERY,pullback_continuation,2.5,1.5,100.0,1.25
,RR_GRID,DISCOVERY,pullback_continuation,2.5,1.5,250.0,1.0
,RR_GRID,DISCOVERY,pullback_continuation,2.5,1.5,250.0,1.25
,RR_GRID,DISCOVERY,pullback_continuation,2.5,2.0,0.0,1.0
,RR_GRID,DISCOVERY,pullback_continuation,2.5,2.0,0.0,1.25
,RR_GRID,DISCOVERY,pullback_continuation,2.5,2.0,100.0,1.0
,RR_GRID,DISCOVERY,pullback_continuation,2.5,2.0,100.0,1.25
,RR_GRID,DISCOVERY,pullback_continuation,2.5,2.0,250.0,1.0
,RR_GRID,DISCOVERY,pullback_continuation,2.5,2.0,250.0,1.25
,RR_GRID,DISCOVERY,pullback_continuation,3.0,0.8,0.0,1.0
,RR_GRID,DISCOVERY,pullback_continuation,3.0,0.8,0.0,1.25
,RR_GRID,DISCOVERY,pullback_continuation,3.0,0.8,100.0,1.0
,RR_GRID,DISCOVERY,pullback_continuation,3.0,0.8,100.0,1.25
,RR_GRID,DISCOVERY,pullback_continuation,3.0,0.8,250.0,1.0
,RR_GRID,DISCOVERY,pullback_continuation,3.0,0.8,250.0,1.25
,RR_GRID,DISCOVERY,pullback_continuation,3.0,1.0,0.0,1.0
,RR_GRID,DISCOVERY,pullback_continuation,3.0,1.0,0.0,1.25
,RR_GRID,DISCOVERY,pullback_continuation,3.0,1.0,100.0,1.0
,RR_GRID,DISCOVERY,pullback_continuation,3.0,1.0,100.0,1.25
,RR_GRID,DISCOVERY,pullback_continuation,3.0,1.0,250.0,1.0
,RR_GRID,DISCOVERY,pullback_continuation,3.0,1.0,250.0,1.25
,RR_GRID,DISCOVERY,pullback_continuation,3.0,1.2,0.0,1.0
,RR_GRID,DISCOVERY,pullback_continuation,3.0,1.2,0.0,1.25
,RR_GRID,DISCOVERY,pullback_continuation,3.0,1.2,100.0,1.0
,RR_GRID,DISCOVERY,pullback_continuation,3.0,1.2,100.0,1.25
,RR_GRID,DISCOVERY,pullback_continuation,3.0,1.2,250.0,1.0
,RR_GRID,DISCOVERY,pullback_continuation,3.0,1.2,250.0,1.25
,RR_GRID,DISCOVERY,pullback_continuation,3.0,1.5,0.0,1.0
,RR_GRID,DISCOVERY,pullback_continuation,3.0,1.5,0.0,1.25
,RR_GRID,DISCOVERY,pullback_continuation,3.0,1.5,100.0,1.0
,RR_GRID,DISCOVERY,pullback_continuation,3.0,1.5,100.0,1.25
,RR_GRID,DISCOVERY,pullback_continuation,3.0,1.5,250.0,1.0
,RR_GRID,DISCOVERY,pullback_continuation,3.0,1.5,250.0,1.25
,RR_GRID,DISCOVERY,pullback_continuation,3.0,2.0,0.0,1.0
,RR_GRID,DISCOVERY,pullback_continuation,3.0,2.0,0.0,1.25
,RR_GRID,DISCOVERY,pullback_continuation,3.0,2.0,100.0,1.0
,RR_GRID,DISCOVERY,pullback_continuation,3.0,2.0,100.0,1.25
,RR_GRID,DISCOVERY,pullback_continuation,3.0,2.0,250.0,1.0
,RR_GRID,DISCOVERY,pullback_continuation,3.0,2.0,250.0,1.25
,RR_GRID,DISCOVERY,pullback_continuation,3.5,0.8,0.0,1.0
,RR_GRID,DISCOVERY,pullback_continuation,3.5,0.8,0.0,1.25
,RR_GRID,DISCOVERY,pullback_continuation,3.5,0.8,100.0,1.0
,RR_GRID,DISCOVERY,pullback_continuation,3.5,0.8,100.0,1.25
,RR_GRID,DISCOVERY,pullback_continuation,3.5,0.8,250.0,1.0
,RR_GRID,DISCOVERY,pullback_continuation,3.5,0.8,250.0,1.25
,RR_GRID,DISCOVERY,pullback_continuation,3.5,1.0,0.0,1.0
,RR_GRID,DISCOVERY,pullback_continuation,3.5,1.0,0.0,1.25
,RR_GRID,DISCOVERY,pullback_continuation,3.5,1.0,100.0,1.0
,RR_GRID,DISCOVERY,pullback_continuation,3.5,1.0,100.0,1.25
,RR_GRID,DISCOVERY,pullback_continuation,3.5,1.0,250.0,1.0
,RR_GRID,DISCOVERY,pullback_continuation,3.5,1.0,250.0,1.25
,RR_GRID,DISCOVERY,pullback_continuation,3.5,1.2,0.0,1.0
,RR_GRID,DISCOVERY,pullback_continuation,3.5,1.2,0.0,1.25
,RR_GRID,DISCOVERY,pullback_continuation,3.5,1.2,100.0,1.0
,RR_GRID,DISCOVERY,pullback_continuation,3.5,1.2,100.0,1.25
,RR_GRID,DISCOVERY,pullback_continuation,3.5,1.2,250.0,1.0
,RR_GRID,DISCOVERY,pullback_continuation,3.5,1.2,250.0,1.25
,RR_GRID,DISCOVERY,pullback_continuation,3.5,1.5,0.0,1.0
,RR_GRID,DISCOVERY,pullback_continuation,3.5,1.5,0.0,1.25
,RR_GRID,DISCOVERY,pullback_continuation,3.5,1.5,100.0,1.0
,RR_GRID,DISCOVERY,pullback_continuation,3.5,1.5,100.0,1.25
,RR_GRID,DISCOVERY,pullback_continuation,3.5,1.5,250.0,1.0
,RR_GRID,DISCOVERY,pullback_continuation,3.5,1.5,250.0,1.25
,RR_GRID,DISCOVERY,pullback_continuation,3.5,2.0,0.0,1.0
,RR_GRID,DISCOVERY,pullback_continuation,3.5,2.0,0.0,1.25
,RR_GRID,DISCOVERY,pullback_continuation,3.5,2.0,100.0,1.0
,RR_GRID,DISCOVERY,pullback_continuation,3.5,2.0,100.0,1.25
,RR_GRID,DISCOVERY,pullback_continuation,3.5,2.0,250.0,1.0
,RR_GRID,DISCOVERY,pullback_continuation,3.5,2.0,250.0,1.25
,RR_GRID,DISCOVERY,pullback_continuation,4.0,0.8,0.0,1.0
,RR_GRID,DISCOVERY,pullback_continuation,4.0,0.8,0.0,1.25
,RR_GRID,DISCOVERY,pullback_continuation,4.0,0.8,100.0,1.0
,RR_GRID,DISCOVERY,pullback_continuation,4.0,0.8,100.0,1.25
,RR_GRID,DISCOVERY,pullback_continuation,4.0,0.8,250.0,1.0
,RR_GRID,DISCOVERY,pullback_continuation,4.0,0.8,250.0,1.25
,RR_GRID,DISCOVERY,pullback_continuation,4.0,1.0,0.0,1.0
,RR_GRID,DISCOVERY,pullback_continuation,4.0,1.0,0.0,1.25
,RR_GRID,DISCOVERY,pullback_continuation,4.0,1.0,100.0,1.0
,RR_GRID,DISCOVERY,pullback_continuation,4.0,1.0,100.0,1.25
,RR_GRID,DISCOVERY,pullback_continuation,4.0,1.0,250.0,1.0
,RR_GRID,DISCOVERY,pullback_continuation,4.0,1.0,250.0,1.25
,RR_GRID,DISCOVERY,pullback_continuation,4.0,1.2,0.0,1.0
,RR_GRID,DISCOVERY,pullback_continuation,4.0,1.2,0.0,1.25
,RR_GRID,DISCOVERY,pullback_continuation,4.0,1.2,100.0,1.0
,RR_GRID,DISCOVERY,pullback_continuation,4.0,1.2,100.0,1.25
,RR_GRID,DISCOVERY,pullback_continuation,4.0,1.2,250.0,1.0
,RR_GRID,DISCOVERY,pullback_continuation,4.0,1.2,250.0,1.25
,RR_GRID,DISCOVERY,pullback_continuation,4.0,1.5,0.0,1.0
,RR_GRID,DISCOVERY,pullback_continuation,4.0,1.5,0.0,1.25
,RR_GRID,DISCOVERY,pullback_continuation,4.0,1.5,100.0,1.0
,RR_GRID,DISCOVERY,pullback_continuation,4.0,1.5,100.0,1.25
,RR_GRID,DISCOVERY,pullback_continuation,4.0,1.5,250.0,1.0
,RR_GRID,DISCOVERY,pullback_continuation,4.0,1.5,250.0,1.25
,RR_GRID,DISCOVERY,pullback_continuation,4.0,2.0,0.0,1.0
,RR_GRID,DISCOVERY,pullback_continuation,4.0,2.0,0.0,1.25
,RR_GRID,DISCOVERY,pullback_continuation,4.0,2.0,100.0,1.0
,RR_GRID,DISCOVERY,pullback_continuation,4.0,2.0,100.0,1.25
,RR_GRID,DISCOVERY,pullback_continuation,4.0,2.0,250.0,1.0
,RR_GRID,DISCOVERY,pullback_continuation,4.0,2.0,250.0,1.25
,RR_GRID,DISCOVERY,pullback_continuation,4.5,0.8,0.0,1.0
,RR_GRID,DISCOVERY,pullback_continuation,4.5,0.8,0.0,1.25
,RR_GRID,DISCOVERY,pullback_continuation,4.5,0.8,100.0,1.0
,RR_GRID,DISCOVERY,pullback_continuation,4.5,0.8,100.0,1.25
,RR_GRID,DISCOVERY,pullback_continuation,4.5,0.8,250.0,1.0
,RR_GRID,DISCOVERY,pullback_continuation,4.5,0.8,250.0,1.25
,RR_GRID,DISCOVERY,pullback_continuation,4.5,1.0,0.0,1.0
,RR_GRID,DISCOVERY,pullback_continuation,4.5,1.0,0.0,1.25
,RR_GRID,DISCOVERY,pullback_continuation,4.5,1.0,100.0,1.0
,RR_GRID,DISCOVERY,pullback_continuation,4.5,1.0,100.0,1.25
,RR_GRID,DISCOVERY,pullback_continuation,4.5,1.0,250.0,1.0
,RR_GRID,DISCOVERY,pullback_continuation,4.5,1.0,250.0,1.25
,RR_GRID,DISCOVERY,pullback_continuation,4.5,1.2,0.0,1.0
,RR_GRID,DISCOVERY,pullback_continuation,4.5,1.2,0.0,1.25
,RR_GRID,DISCOVERY,pullback_continuation,4.5,1.2,100.0,1.0
,RR_GRID,DISCOVERY,pullback_continuation,4.5,1.2,100.0,1.25
,RR_GRID,DISCOVERY,pullback_continuation,4.5,1.2,250.0,1.0
,RR_GRID,DISCOVERY,pullback_continuation,4.5,1.2,250.0,1.25
,RR_GRID,DISCOVERY,pullback_continuation,4.5,1.5,0.0,1.0
,RR_GRID,DISCOVERY,pullback_continuation,4.5,1.5,0.0,1.25
,RR_GRID,DISCOVERY,pullback_continuation,4.5,1.5,100.0,1.0
,RR_GRID,DISCOVERY,pullback_continuation,4.5,1.5,100.0,1.25
,RR_GRID,DISCOVERY,pullback_continuation,4.5,1.5,250.0,1.0
,RR_GRID,DISCOVERY,pullback_continuation,4.5,1.5,250.0,1.25
,RR_GRID,DISCOVERY,pullback_continuation,4.5,2.0,0.0,1.0
,RR_GRID,DISCOVERY,pullback_continuation,4.5,2.0,0.0,1.25
,RR_GRID,DISCOVERY,pullback_continuation,4.5,2.0,100.0,1.0
,RR_GRID,DISCOVERY,pullback_continuation,4.5,2.0,100.0,1.25
,RR_GRID,DISCOVERY,pullback_continuation,4.5,2.0,250.0,1.0
,RR_GRID,DISCOVERY,pullback_continuation,4.5,2.0,250.0,1.25
,RR_GRID,DISCOVERY,pullback_continuation,5.0,0.8,0.0,1.0
,RR_GRID,DISCOVERY,pullback_continuation,5.0,0.8,0.0,1.25
,RR_GRID,DISCOVERY,pullback_continuation,5.0,0.8,100.0,1.0
,RR_GRID,DISCOVERY,pullback_continuation,5.0,0.8,100.0,1.25
,RR_GRID,DISCOVERY,pullback_continuation,5.0,0.8,250.0,1.0
,RR_GRID,DISCOVERY,pullback_continuation,5.0,0.8,250.0,1.25
,RR_GRID,DISCOVERY,pullback_continuation,5.0,1.0,0.0,1.0
,RR_GRID,DISCOVERY,pullback_continuation,5.0,1.0,0.0,1.25
,RR_GRID,DISCOVERY,pullback_continuation,5.0,1.0,100.0,1.0
,RR_GRID,DISCOVERY,pullback_continuation,5.0,1.0,100.0,1.25
,RR_GRID,DISCOVERY,pullback_continuation,5.0,1.0,250.0,1.0
,RR_GRID,DISCOVERY,pullback_continuation,5.0,1.0,250.0,1.25
,RR_GRID,DISCOVERY,pullback_continuation,5.0,1.2,0.0,1.0
,RR_GRID,DISCOVERY,pullback_continuation,5.0,1.2,0.0,1.25
,RR_GRID,DISCOVERY,pullback_continuation,5.0,1.2,100.0,1.0
,RR_GRID,DISCOVERY,pullback_continuation,5.0,1.2,100.0,1.25
,RR_GRID,DISCOVERY,pullback_continuation,5.0,1.2,250.0,1.0
,RR_GRID,DISCOVERY,pullback_continuation,5.0,1.2,250.0,1.25
,RR_GRID,DISCOVERY,pullback_continuation,5.0,1.5,0.0,1.0
,RR_GRID,DISCOVERY,pullback_continuation,5.0,1.5,0.0,1.25
,RR_GRID,DISCOVERY,pullback_continuation,5.0,1.5,100.0,1.0
,RR_GRID,DISCOVERY,pullback_continuation,5.0,1.5,100.0,1.25
,RR_GRID,DISCOVERY,pullback_continuation,5.0,1.5,250.0,1.0
,RR_GRID,DISCOVERY,pullback_continuation,5.0,1.5,250.0,1.25
,RR_GRID,DISCOVERY,pullback_continuation,5.0,2.0,0.0,1.0
,RR_GRID,DISCOVERY,pullback_continuation,5.0,2.0,0.0,1.25
,RR_GRID,DISCOVERY,pullback_continuation,5.0,2.0,100.0,1.0
,RR_GRID,DISCOVERY,pullback_continuation,5.0,2.0,100.0,1.25
,RR_GRID,DISCOVERY,pullback_continuation,5.0,2.0,250.0,1.0
,RR_GRID,DISCOVERY,pullback_continuation,5.0,2.0,250.0,1.25
,RR_GRID,DISCOVERY,pullback_continuation,5.5,0.8,0.0,1.0
,RR_GRID,DISCOVERY,pullback_continuation,5.5,0.8,0.0,1.25
,RR_GRID,DISCOVERY,pullback_continuation,5.5,0.8,100.0,1.0
,RR_GRID,DISCOVERY,pullback_continuation,5.5,0.8,100.0,1.25
,RR_GRID,DISCOVERY,pullback_continuation,5.5,0.8,250.0,1.0
,RR_GRID,DISCOVERY,pullback_continuation,5.5,0.8,250.0,1.25
,RR_GRID,DISCOVERY,pullback_continuation,5.5,1.0,0.0,1.0
,RR_GRID,DISCOVERY,pullback_continuation,5.5,1.0,0.0,1.25
,RR_GRID,DISCOVERY,pullback_continuation,5.5,1.0,100.0,1.0
,RR_GRID,DISCOVERY,pullback_continuation,5.5,1.0,100.0,1.25
,RR_GRID,DISCOVERY,pullback_continuation,5.5,1.0,250.0,1.0
,RR_GRID,DISCOVERY,pullback_continuation,5.5,1.0,250.0,1.25
,RR_GRID,DISCOVERY,pullback_continuation,5.5,1.2,0.0,1.0
,RR_GRID,DISCOVERY,pullback_continuation,5.5,1.2,0.0,1.25
,RR_GRID,DISCOVERY,pullback_continuation,5.5,1.2,100.0,1.0
,RR_GRID,DISCOVERY,pullback_continuation,5.5,1.2,100.0,1.25
,RR_GRID,DISCOVERY,pullback_continuation,5.5,1.2,250.0,1.0
,RR_GRID,DISCOVERY,pullback_continuation,5.5,1.2,250.0,1.25
,RR_GRID,DISCOVERY,pullback_continuation,5.5,1.5,0.0,1.0
,RR_GRID,DISCOVERY,pullback_continuation,5.5,1.5,0.0,1.25
,RR_GRID,DISCOVERY,pullback_continuation,5.5,1.5,100.0,1.0
,RR_GRID,DISCOVERY,pullback_continuation,5.5,1.5,100.0,1.25
,RR_GRID,DISCOVERY,pullback_continuation,5.5,1.5,250.0,1.0
,RR_GRID,DISCOVERY,pullback_continuation,5.5,1.5,250.0,1.25
,RR_GRID,DISCOVERY,pullback_continuation,5.5,2.0,0.0,1.0
,RR_GRID,DISCOVERY,pullback_continuation,5.5,2.0,0.0,1.25
,RR_GRID,DISCOVERY,pullback_continuation,5.5,2.0,100.0,1.0
,RR_GRID,DISCOVERY,pullback_continuation,5.5,2.0,100.0,1.25
,RR_GRID,DISCOVERY,pullback_continuation,5.5,2.0,250.0,1.0
,RR_GRID,DISCOVERY,pullback_continuation,5.5,2.0,250.0,1.25
,RR_GRID,DISCOVERY,pullback_continuation,6.0,0.8,0.0,1.0
,RR_GRID,DISCOVERY,pullback_continuation,6.0,0.8,0.0,1.25
,RR_GRID,DISCOVERY,pullback_continuation,6.0,0.8,100.0,1.0
,RR_GRID,DISCOVERY,pullback_continuation,6.0,0.8,100.0,1.25
,RR_GRID,DISCOVERY,pullback_continuation,6.0,0.8,250.0,1.0
,RR_GRID,DISCOVERY,pullback_continuation,6.0,0.8,250.0,1.25
,RR_GRID,DISCOVERY,pullback_continuation,6.0,1.0,0.0,1.0
,RR_GRID,DISCOVERY,pullback_continuation,6.0,1.0,0.0,1.25
,RR_GRID,DISCOVERY,pullback_continuation,6.0,1.0,100.0,1.0
,RR_GRID,DISCOVERY,pullback_continuation,6.0,1.0,100.0,1.25
,RR_GRID,DISCOVERY,pullback_continuation,6.0,1.0,250.0,1.0
,RR_GRID,DISCOVERY,pullback_continuation,6.0,1.0,250.0,1.25
,RR_GRID,DISCOVERY,pullback_continuation,6.0,1.2,0.0,1.0
,RR_GRID,DISCOVERY,pullback_continuation,6.0,1.2,0.0,1.25
,RR_GRID,DISCOVERY,pullback_continuation,6.0,1.2,100.0,1.0
,RR_GRID,DISCOVERY,pullback_continuation,6.0,1.2,100.0,1.25
,RR_GRID,DISCOVERY,pullback_continuation,6.0,1.2,250.0,1.0
,RR_GRID,DISCOVERY,pullback_continuation,6.0,1.2,250.0,1.25
